sequence_id,date
A/NewZealand/1148/2016,2016.755
A/Kagawa/441/2016,2016.57
A/Paris/1372/2017,2017.56
A/Texas/42/2017,2017.084
A/Townsville/12/2016,2016.299
A/Poland/7474/2015,2015.999
A/Taiwan/780/2016,2016.684
A/Netherlands/873/2016,2016.111
A/Yaroslavl/101-L/2016,2016.078
A/Vladivostok/RII2536/2016,2016.204
A/Vietnam/BM1/2016,2016.163
A/Panama/318595/2016,2016.422
A/Vietnam/6053/2016,2016.324
A/Nepal/527/2016,2016.193
A/SriLanka/10/2016,2016.4
A/SriLanka/15/2016,2016.455
A/Perugia/26/2016,2016.272
A/Tunisia/1033/2017,2017.07
A/Roraima/139333-IEC/2016,2016.239
A/Ulaanbaatar/3018/2015,2015.895
A/Ulaanbaatar/3494/2016,2016.969
A/Yamagata/186/2016,2016.318
A/Paraguay/1919/2016,2016.578
A/HongKong/2352/2016,2016.589
A/Brazil/8394/2016,2016.641
A/Wisconsin/94/2016,2016.908
A/Wisconsin/38/2017,2017.199
A/Wisconsin/99/2016,2016.933
A/California/45/2017,2017.116
A/Montana/50/2016,2016.775
A/Montana/50/2016-egg,2016.775
A/SantaCatarina/92/2017,2017.163
A/Brazil/526/2017,2017.095
A/SaudiArabia/78741/2015,2015.733
A/Wisconsin/89/2015,2015.9
A/Montenegro/98/2016,2016.133
A/Sachsen/68/2016,2016.277
A/Zaporizhia/626/2016,2016.168
A/Tunisia/4209/2016,2016.225
A/LaReunion/2020/2016,2016.499
A/Zhejiang-Dinghai/SWL1346/2016,2016.337
A/Wyoming/20/2015,2015.99
A/Fiji/3/2016,2016.335
A/Fiji/3/2016-egg,2016.335
A/Mexico/4115/2016,2016.411
A/SouthAfrica/R4066/2016,2016.477
A/Mexico/4262/2016,2016.643
A/Mexico/4213/2016,2016.57
A/Colombia/973/2016,2016.783
A/Utah/25/2017,2017.292
A/Mozambique/344/2017,2017.678
A/Vietnam/6045/2016,2016.433
A/SouthAfrica/5148/2016,2016.553
A/Zhejiang-Kecheng/SWL1328/2016,2016.296
A/SouthAustralia/16/2017,2017.042
A/Yunnan-Maoshi/SWL1836/2016,2016.813
A/Sapporo/94/2016,2016.87
A/Norway/807/2017,2017.073
A/Shanghai-Huangpu/13439/2016,2016.93
A/Mali/106/2017,2017.453
A/Mali/99/2017,2017.393
A/Guizhou-Qingzhen/1331/2017,2017.311
A/Zhejiang-Lucheng/SWL1217/2017,2017.163
A/HongKong/3650/2017,2017.549
A/Yokohama/141/2017,2017.508
A/Suriname/2158/2017,2017.547
A/Lao/1673/2017,2017.39
A/NewJersey/25/2017,2017.404
A/Togo/1107/2017,2017.832
A/Yunnan-Mengzi/SWL1664/2017,2017.582
A/BurkinaFaso/7/2017,2017.207
A/Shiga/29/2017,2017.396
A/Vietnam/Lisn163/2017,2017.629
A/Taiwan/683/2016,2016.209
A/Taiwan/533/2016,2016.157
A/Wellington/6/2016,2016.551
A/Austria/896294/2016,2015.996
A/Wakayama-C/131/2016,2016.337
A/Texas/157/2016,2016.225
A/Hyogo/1060/2017,2017.44
A/SouthAfrica/R07347/2017,2017.56
A/Bahrain/263/2017,2017.407
A/Pakistan/95/2017,2017.936
A/Yokohama/121/2017,2017.201
A/SaudiArabia/NK3106091/2017,2017.201
A/NewZealand/591/2017,2017.489
A/Mozambique/297/2017,2017.645
A/India/2639/2017,2017.064
A/India/8161/2017,2017.478
A/India/9574/2016,2016.96
A/Switzerland/202349/2017,2017.503
A/Tak/68/2017,2017.437
A/Yokohama/136/2017,2017.319
A/Canterbury/3/2017,2017.201
A/SaudiArabia/246644/2017,2017.152
A/Bangladesh/1012/2017,2017.314
A/Maldives/71/2017,2017.097
A/Maldives/446/2017,2017.215
A/Bahrain/211/2017,2017.3
A/Perth/10/2017,2017.064
A/Arizona/33/2017,2017.347
A/Philippines/212/2017,2017.3
A/Georgia/17/2017,2017.489
A/Paris/1447/2017,2017.801
A/HongKong/4997/2017,2017.947
A/Kuwait/4004/2017,2017.815
A/Yunnan-Zhaoyang/SWL1367/2018,2018.27
A/Zhejiang-Yuecheng/SWL143/2018,2018.012
A/Stockholm/41/2017,2017.752
A/Gwangju/782/2017,2017.905
A/Maldives/1499/2017,2017.966
A/India/9358/2017,2017.549
A/Hunan-Wuling/1468/2018,2018.182
A/Townsville/1/2018,2018.111
A/India/7078/2017,2017.396
A/Sydney/223/2017,2017.922
A/India/9929/2017,2017.815
A/HongKong/4820/2017,2017.807
A/Switzerland/707/2018,2018.012
A/NewZealand/2388/2017,2017.651
A/Texas/281/2017,2017.601
A/Taiwan/1437/2017,2017.845
A/Taiwan/401/2017,2017.388
A/Sichuan-Gaoxin/SWL537/2017,2017.705
A/NewMexico/19/2017,2017.61
A/Perth/339/2017,2017.853
A/Yamaguchi/2/2018,2018.01
A/Osaka-C/10/2018,2018.086
A/Yokohama/81/2018,2018.273
A/Yokohama/198/2017,2017.944
A/Phetchaburi/1136/2018,2018.462
A/Lao/2649/2018,2018.752
A/Vietnam/Lisn18328/2018,2018.834
A/Lao/220/2018,2018.078
A/Oman/3192/2017,2017.44
A/Yamanashi/17210/2017,2017.667
A/Wyoming/23/2017,2017.81
A/Cambodia/1161/2017,2017.988
A/Cambodia/1095/2017,2017.933
A/India/4769/2018,2018.136
A/Zambia/301/2017,2017.108
A/Louisiana/62/2017,2017.853
A/Minnesota/34/2018,2018.319
A/Wellington/3/2018,2018.393
A/NewJersey/13/2018-egg,2018.133
A/NewJersey/13/2018,2018.133
A/CzechRepublic/1928/2018,2018.788
A/Ulsan/1424/2018,2018.366
A/Brisbane/2/2018-egg,2018.248
A/Brisbane/2/2018,2018.01
A/Wyoming/8/2018,2018.084
A/Sweden/82/2017,2017.949
A/India/322/2017,2017.59
A/Yekaterinburg/472/2018,2018.3
A/India/4316/2018,2018.27
A/Shenzhen/2019-14203/2018,2018.105
A/Ulaanbaatar/527/2018,2018.103
A/Uganda/525/2018,2018.021
A/Zamyn-Uud/1620/2018,2018.388
A/Yunnan-Linxiang/1557/2019,2019.481
A/Dundgovi/1639/2018,2018.429
A/Yasothon/81/2018,2018.259
A/Sydney/9/2018,2018.062
A/Townsville/3/2018,2018.193
A/Townsville/6/2018,2018.284
A/Lao/323/2019,2019.084
A/Lao/3795/2017,2017.752
A/Victoria/9/2018,2018.621
A/Suriname/288/2018,2018.634
A/Austria/1031627/2017,2017.993
A/Pakistan/456/2018,2018.04
A/SouthAfrica/R10451/2018,2018.519
A/SouthAfrica/R09607/2018,2018.484
A/Swansea/7064/2018,2018.152
A/RostovOnDon/3171/2017,2017.719
A/Trinidad/2176/2017,2017.667
A/Lisbon/6/2018,2018.029
A/RethymnoGRC/1123/2018,2018.281
A/Denmark/94/2018,2018.051
A/Wisconsin/104/2018,2018.664
A/BurkinaFaso/906/2018,2018.155
A/Nigeria/3406/2018,2018.177
A/Malta/32342/2017,2017.999
A/DominicanRepublic/514/2018,2018.448
A/Togo/210/2019,2019.062
A/England/62/2017,2017.61
A/Ratchaburi/47/2018,2018.147
A/Bangkok/99/2018,2018.368
A/SaudiArabia/463062/2018,2018.651
A/Peru/7118/2018,2018.174
A/Meknes/217/2018,2018.949
A/Bolivia/1912/2018,2018.678
A/Suriname/167/2018,2018.448
A/VinaDelMar/93229/2018,2018.829
A/Catalonia/NSVH110673676/2018,2018.585
A/Colombia/2555/2018,2018.914
A/Taiwan/79730/2018,2018.815
A/AbuDhabi/186/2017,2017.867
A/Idaho/7/2018,2018.116
A/Santiago/108999/2018,2018.971
A/Florida/85/2018-egg,2018.714
A/Austria/1039409/2018,2018.084
A/Yokohama/149/2017,2017.823
A/Okinawa/17T094/2018,2018.607
A/Norway/2681/2018,2018.289
A/Maine/38/2018,2018.747
A/Kanagawa/IC1848/2019-egg,2019.048
A/Kanagawa/IC1848/2019,2019.048
A/HongKong/110/2019,2019.001
A/Newcastle/46/2019,2019.196
A/Darwin/102/2019-egg,2019.218
A/Darwin/102/2019,2019.218
A/Wellington/8/2018,2018.519
A/Ayutthaya/225/2019,2019.347
A/Tokyo/18049/2018,2018.423
A/Qatar/16-vi-18-0040447/2018,2018.552
A/Poland/6732/2019,2019.056
A/AbuDhabi/56/2019,2019.368
A/Finland/90/2019,2019.152
A/Greece/351/2019,2019.097
A/Washington/179/2018,2018.563
A/Aichi/190/2018,2018.333
A/Taiwan/81169/2018,2018.897
A/Taiwan/80642/2018,2018.388
A/Townsville/21/2018,2018.585
A/Victoria/251/2018,2018.755
A/Wakayama/96/2018,2018.722
A/Taiwan/79432/2018,2018.5
A/Yokohama/99/2018,2018.725
A/Ontario/RV2293/2017,2017.686
A/SriLanka/3/2018,2018.012
A/India/3196/2018,2018.188
A/StPetersburg/RII-562/2018,2018.938
A/Zambia/1-364/2018,2018.675
A/Guatemala/87/2019,2019.44
A/Louisiana/1/2020,2020.01
A/Norway/2475/2019,2019.875
A/Mexico/2424/2019,2019.563
A/Wisconsin/565/2019,2019.705
A/Ireland/32105/2019,2019.253
A/Parma/7/2019,2019.023
A/Croatia/5562/2018,2018.952
A/Netherlands/1293/2019,2019.267
A/Ireland/84816/2018,2018.911
A/Valladolid/8/2019,2019.021
A/Wellington/3/2019,2019.248
A/Wisconsin/329/2017,2017.738
A/NewZealand/963/2017,2017.686
A/Seoul/1288/2018,2018.179
A/Singapore/TT1672/2017,2017.895
A/Brisbane/37/2017,2017.253
A/Tokyo/EH1608/2017,2017.623
A/Wellington/7/2017,2017.41
A/Michigan/272/2017,2017.544
A/Victoria/897/2017,2017.774
