sequence_id,date,clade,subclade,region,country
A/Vologda/RII-1090S/2020,2020.026,3C.2a1b.2,E,West Asia,Russia
A/AbuDhabi/54/2019,2019.368,3C.2a1b.2,E,West Asia,United Arab Emirates
A/Martinique/481/2019,2019.212,3C.2a1b.2,E,North America,Martinique
A/Norway/1881/2019,2019.316,3C.2a1b.2,E,Europe,Norway
A/Yokosuka/NHRC_OID_FDX70622/2019,2019.122,3C.2a1b.2,E,Japan Korea,Japan
A/StPetersburg/RII-300/2019,2019.234,3C.2a1b.2,E,West Asia,Russia
A/SouthAustralia/34/2019,2019.999,3C.2a1b.2,E,Oceania,Australia
A/SouthAustralia/34/2019-egg,2019.1,3C.2a1b.2,E,Oceania,Australia
A/Okinawa/74/2019,2019.503,3C.2a1b.2,E,Japan Korea,Japan
A/Finland/123/2019,2019.349,3C.2a1b.2,E,Europe,Finland
A/Netherlands/99/2019,2019.04,3C.2a1b.2,E,Europe,Netherlands
A/Yokosuka/17/2019,2019.021,3C.2a1b.2,E,Japan Korea,Japan
A/Uppsala/6/2019,2019.275,3C.2a1b.2,E,Europe,Sweden
A/Sachsen/92/2019,2019.212,3C.2a1b.2,E,Europe,Germany
A/Sweden/61/2019,2019.24,3C.2a1b.2,E,Europe,Sweden
A/Sweden/60/2019,2019.212,3C.2a1b.2,E,Europe,Sweden
A/Zhejiang-Nanhu/1108/2019,2019.1,3C.2a1b.2,E,China,China
A/Yokohama/132/2019,2019.163,3C.2a1b.2b,E.2,Japan Korea,Japan
A/Victoria/909/2019,2019.16,3C.2a1b.2b,E.2,Oceania,Australia
A/Swansea/7185/2019,2019.059,3C.2a1b.2b,E.2,Europe,United Kingdom
A/Yokosuka/57/2018,2018.977,3C.2a1b.2b,E.2,Japan Korea,Japan
A/ChiangRai/197/2019,2019.295,3C.2a1b.2b,E.2,Southeast Asia,Thailand
A/Yokohama/158/2019,2019.347,3C.2a1b.2b,E.2,Japan Korea,Japan
A/Christchurch/515/2019-egg,2019.253,3C.2a1b.2b,E.2,Oceania,New Zealand
A/Wellington/8/2019,2019.223,3C.2a1b.2b,E.2,Oceania,New Zealand
A/Wellington/27/2019,2019.382,3C.2a1b.2b,E.2,Oceania,New Zealand
A/Victoria/2703/2019,2019.497,3C.2a1b.2b,E.2,Oceania,Australia
A/Montana/18/2019,2019.136,3C.2a1b.2b,E.2,North America,USA
A/Nakhonphanom/498/2019,2019.481,3C.2a1b.2b,E.2,Southeast Asia,Thailand
A/MinasGerais/12710/2020,2020.138,3C.2a1b.2b,E.2,South America,Brazil
A/Saitama/176/2019,2019.642,3C.2a1b.2b,E.2,Japan Korea,Japan
A/VinaDelMar/82289/2019,2019.185,3C.2a1b.2b,E.2,South America,Chile
A/Lao/2461/2019,2019.678,3C.2a1b.2b,E.2,Southeast Asia,Laos
A/Yasothon/384/2019,2019.623,3C.2a1b.2b,E.2,Southeast Asia,Thailand
A/Valencia/10_1422/2020,2020.13,3C.2a1b.2b,E.2,Europe,Spain
A/Hawaii/42/2019,2019.404,3C.2a1b.2b,E.2,North America,USA
A/Lisbon/37/2019,2019.895,3C.2a1b.2b,E.2,Europe,Portugal
A/HongKong/3055/2019,2019.541,3C.2a1b.2b,E.2,China,Hong Kong
A/Abudhabi/67/2019,2019.733,3C.2a1b.2b,E.2,West Asia,United Arab Emirates
A/Victoria/223/2019,2019.612,3C.2a1b.2b,E.2,Oceania,Australia
A/Tokyo/19139/2019,2019.473,3C.2a1b.2b,E.2,Japan Korea,Japan
A/Victoria/2859/2019,2019.862,3C.2a1b.2b,E.2,Oceania,Australia
A/Wisconsin/3/2020,2020.023,3C.2a1b.2b,E.2,North America,USA
A/Victoria/97/2019,2019.451,3C.2a1b.2b,E.2,Oceania,Australia
A/Santiago/4891/2020,2020.031,3C.2a1b.2b,E.2,South America,Chile
A/Uppsala/7/2019,2019.845,3C.2a1b.2b,E.2,Europe,Sweden
A/Michigan/450/2019,2019.733,3C.2a1b.2b,E.2,North America,USA
A/NorthDakota/34/2019,2019.815,3C.2a1b.2b,E.2,North America,USA
A/Wisconsin/557/2019,2019.536,3C.2a1b.2b,E.2,North America,USA
A/Iceland/72/2019,2019.393,3C.2a1b.2b,E.2,Europe,Iceland
A/Portugal/MS74/2020,2020.22,3C.2a1b.2b,E.2,Europe,Portugal
A/Wisconsin/554/2019,2019.448,3C.2a1b.2b,E.2,North America,USA
A/Maldives/810/2018,2018.407,3C.2a1b.2,E,South Asia,Maldives
A/Maldives/925/2018,2018.423,3C.2a1b.2,E,South Asia,Maldives
A/Sachsen/94/2018,2018.963,3C.2a1b.2,E,Europe,Germany
A/Wrexham/6341/2019,2019.223,3C.2a1b.2,E,Europe,United Kingdom
A/CoteDIvoire/650/2019,2019.292,3C.2a1b.2,E,Africa,Côte d'Ivoire
A/Kuwait/6435/2018,2018.525,3C.2a1b.2,E,West Asia,Kuwait
