sequence_id,date,clade,subclade,region,country
A/Lao/858/2016,2016.206,6B.1,unassigned,Southeast Asia,Laos
A/Yokohama/104/2015,2015.99,6B.1,unassigned,Japan Korea,Japan
A/Yokohama/44/2016,2016.059,6B.1,unassigned,Japan Korea,Japan
A/Toyama/90/2016,2016.417,6B.1,unassigned,Japan Korea,Japan
A/HongKong/2318/2016,2016.581,6B.1,unassigned,China,Hong Kong
A/Lao/995/2017,2017.215,6B.1,unassigned,Southeast Asia,Laos
A/Lao/656/2017,2017.138,6B.1,unassigned,Southeast Asia,Laos
A/Lao/3074/2016,2016.745,6B.1,unassigned,Southeast Asia,Laos
A/Kanagawa/206/2016,2016.837,6B.1,unassigned,Japan Korea,Japan
A/Yamagata/205/2016,2016.794,6B.1,unassigned,Japan Korea,Japan
A/Yokosuka/19/2017,2017.105,6B.1,unassigned,Japan Korea,Japan
A/Yamaguchi/12/2017,2017.045,6B.1,unassigned,Japan Korea,Japan
A/Norway/3591/2016,2016.387,6B.1,unassigned,Europe,Norway
A/Lao/77/2017,2017.023,6B.1,unassigned,Southeast Asia,Laos
A/HongKong/223/2017,2017.023,6B.1,unassigned,China,Hong Kong
A/Sichuan-Dongqu/SWL11082/2017,2017.484,6B.1,unassigned,China,China
A/NewZealand/971/2017,2017.53,6B.1,unassigned,Oceania,New Zealand
A/Tokyo/16493/2016,2016.919,6B.1,unassigned,Japan Korea,Japan
A/Oita/23/2016,2016.745,6B.1,unassigned,Japan Korea,Japan
A/Lao/2618/2016,2016.66,6B.1,unassigned,Southeast Asia,Laos
A/Lao/9/2016,2016.996,6B.1,unassigned,Southeast Asia,Laos
A/Yasothon/404/2016,2016.818,6B.1,unassigned,Southeast Asia,Thailand
A/Brisbane/181/2015,2015.763,6B.1,unassigned,Oceania,Australia
A/Singapore/TT1354/2015,2015.977,6B.1,unassigned,Southeast Asia,Singapore
A/Victoria/2159/2015,2015.793,6B.1,unassigned,Oceania,Australia
A/Michigan/45/2015,2015.684,6B.1,unassigned,North America,USA
A/Michigan/45/2015-egg,2015.684,6B.1,unassigned,China,China
A/Ireland/280/2016,2016.045,6B.1,unassigned,Europe,Ireland
A/Aragon/1615/2015,2015.744,6B.1,unassigned,Europe,Spain
A/Mie/20/2015,2015.695,6B.1,unassigned,Japan Korea,Japan
A/Congo/873/2016,2016.403,6B.1,unassigned,Africa,Democatic Republic of the Congo
A/Lithuania/6173/2016,2016.133,6B.1,unassigned,Europe,Lithuania
A/Nepal/41/2016,2016.026,6B.1,unassigned,South Asia,Nepal
A/Oman/5450/2015,2015.793,6B.1,unassigned,West Asia,Oman
A/Morocco/344/2016,2016.078,6B.1,unassigned,Africa,Morocco
A/Townsville/1/2016,2016.081,6B.1,unassigned,Oceania,Australia
A/Tunisia/3002/2016,2016.154,6B.1,unassigned,Africa,Tunisia
A/Moldova/702/2016,2016.031,6B.1,unassigned,Europe,Moldova
A/Montenegro/324/2016,2016.212,6B.1,unassigned,Europe,Montenegro
A/Singapore/GP1908/2015-egg,2015.842,6B.1,unassigned,Southeast Asia,Singapore
A/Singapore/GP1908/2015,2015.842,6B.1,unassigned,Southeast Asia,Singapore
A/Singapore/TT0962/2016,2016.556,6B.1,unassigned,Southeast Asia,Singapore
A/Colombia/1466/2016,2016.895,6B.1,unassigned,South America,Colombia
A/Afghanistan/92/2016,2016.463,6B.1,unassigned,West Asia,Afghanistan
A/Bolivia/714/2017,2017.399,6B.1,unassigned,South America,Bolivia
A/Pernambuco/138700/2016,2016.075,6B.1,unassigned,South America,Brazil
A/Brazil/1168/2016,2016.417,6B.1,unassigned,South America,Brazil
A/Paraiba/140914-IEC/2016,2016.354,6B.1,unassigned,South America,Brazil
A/Vrancea/190182/2016,2016.048,6B.1,unassigned,Europe,Romania
A/Shizuoka-C/58/2016,2016.608,6B.1,unassigned,Japan Korea,Japan
A/Peru/716/2016,2016.72,6B.1,unassigned,South America,Peru
A/Yokohama/98/2016,2016.157,6B.1,unassigned,Japan Korea,Japan
A/Tomsk/1767/2016,2016.116,6B.1,unassigned,West Asia,Russia
A/Vietnam/GHS741/2017,2017.552,6B.1,unassigned,Southeast Asia,Vietnam
A/Vietnam/Lisn214/2017,2017.716,6B.1,unassigned,Southeast Asia,Vietnam
A/Vologda/CRIE-06/2015,2015.936,6B.1,unassigned,West Asia,Russia
A/Vladivostok/RII833/2016,2016.253,6B.1,unassigned,West Asia,Russia
A/Yunnan-Simao/1989/2016,2016.895,6B.1,unassigned,China,China
A/SuratThani/428/2016,2016.862,6B.1,unassigned,Southeast Asia,Thailand
A/Sydney/1001/2017,2017.264,6B.1,unassigned,Oceania,Australia
A/Paris/804/2017,2017.1,6B.1,unassigned,Europe,France
A/Slovenia/2903/2015-egg,2015.911,6B.1,unassigned,Europe,Slovenia
A/Slovenia/2903/2015,2015.818,6B.1,unassigned,Europe,Slovenia
A/Austria/883648/2015,2015.768,6B.1,unassigned,Europe,Austria
A/Newcastle/65/2015,2015.933,6B.1,unassigned,Oceania,Australia
A/Slovenia/77/2016,2016.02,6B.1,unassigned,Europe,Slovenia
A/Victoria/2018/2016,2016.225,6B.1,unassigned,Oceania,Australia
A/Victoria/501/2016,2016.392,6B.1,unassigned,Oceania,Australia
A/Novosibirsk/121/2016,2016.788,6B.1,unassigned,West Asia,Russia
A/Ontario/RV3089/2016,2016.717,6B.1,unassigned,North America,Canada
A/SaudiArabia/192788/2016,2016.701,6B.1,unassigned,West Asia,Saudi Arabia
A/Victoria/15/2016,2016.477,6B.1,unassigned,Oceania,Australia
A/Victoria/640/2016,2016.876,6B.1,unassigned,Oceania,Australia
A/NewZealand/967/2016,2016.695,6B.1,unassigned,Oceania,New Zealand
A/NewZealand/841/2016,2016.643,6B.1,unassigned,Oceania,New Zealand
A/Bulgaria/897/2016,2016.22,6B.1,unassigned,Europe,Bulgaria
A/Colombia/3732/2017,2017.316,6B.1,unassigned,South America,Colombia
A/Norway/4555/2016,2016.851,6B.1,unassigned,Europe,Norway
A/Norway/4463/2016,2016.821,6B.1,unassigned,Europe,Norway
A/Yokohama/111/2016,2016.209,6B.1,unassigned,Japan Korea,Japan
A/Suriname/1295/2016,2016.154,6B.1,unassigned,South America,Suriname
A/Suriname/1437/2016,2016.316,6B.1,unassigned,South America,Suriname
A/Ecuador/33/2017,2017.037,6B.1,unassigned,South America,Ecuador
A/Tarragona/641151NS/2016,2016.165,6B.1,unassigned,Europe,Spain
A/Poland/6A031/2016,2016.133,6B.1,unassigned,Europe,Poland
A/Oman/5450/2016,2016.504,6B.1,unassigned,West Asia,Oman
A/Antsirabe/5602/2016,2016.747,6B.1,unassigned,Africa,Madagascar
A/NewZealand/1148/2016,2016.755,6B.1,unassigned,Oceania,New Zealand
A/Kagawa/441/2016,2016.57,6B.1,unassigned,Japan Korea,Japan
A/Paris/1372/2017,2017.56,6B.1,unassigned,Europe,France
A/Texas/42/2017,2017.084,6B.1,unassigned,North America,USA
A/Townsville/12/2016,2016.299,6B.1,unassigned,Oceania,Australia
A/Poland/7474/2015,2015.999,6B.1,unassigned,Europe,Poland
A/Taiwan/780/2016,2016.684,6B.1,unassigned,China,Taiwan
A/Netherlands/873/2016,2016.111,6B.1,unassigned,Europe,Netherlands
A/Yaroslavl/101-L/2016,2016.078,6B.1,unassigned,West Asia,Russia
A/Vladivostok/RII2536/2016,2016.204,6B.1,unassigned,West Asia,Russia
A/Vietnam/BM1/2016,2016.163,6B.1,unassigned,Southeast Asia,Vietnam
A/Panama/318595/2016,2016.422,6B.1,unassigned,North America,Panama
