sequence_id,date
A/SriLanka/5/2017,2017.021
A/Yozgat/14/2017,2016.004
A/Bangladesh/5010/2016,2016.488
A/SaudiArabia/193825/2016,2016.72
A/Yokohama/200/2016,2016.974
A/SantaCatarina/1909/2016,2016.988
A/Victoria/673/2016,2016.884
A/Singapore/TT1329/2016,2016.821
A/Kyiv/850/2016,2016.818
A/Canberra/7/2016,2016.275
A/Vietnam/6021/2016,2016.327
A/Victoria/825/2016,2016.693
A/Vietnam/6179/2016,2016.63
A/Lao/F2884/2016,2016.717
A/Colombia/1408/2016,2016.889
A/Luxembourg/16018339/2016,2016.261
A/Brisbane/197/2015,2015.856
A/Wisconsin/87/2015,2015.826
A/Taiwan/794/2016,2016.69
A/Taiwan/960/2016,2016.87
A/Bangladesh/429/2016,2016.602
A/HongKong/2391/2016,2016.605
A/Singapore/INFTT-16-0297/2016,2016.152
A/Tehran/50179/2016,2016.258
A/Varamin/49785/2016,2016.245
A/Rennes/497/2016,2016.067
A/Singapore/INFKK-16-0294/2016,2016.173
A/Newcastle/30/2016,2016.242
A/SouthAustralia/135/2016,2016.75
A/Stockholm/26/2016,2016.253
A/NosyBe/1060/2016,2016.245
A/Oman/5466/2016,2016.512
A/Latvia/11-053089/2016,2016.889
A/Tokyo/160298/2016,2016.687
A/Arizona/67/2016,2016.34
A/Bangladesh/3001/2016,2016.668
A/Washington/106/2016,2016.963
A/Delaware/32/2016,2016.873
A/Wisconsin/84/2016,2016.745
A/Portugal/SU12/2016,2016.816
A/Zambia/2-00087/2017,2017.127
A/Singapore/Infimh-16-0019/2016,2016.452
A/Singapore/Infimh-16-0019/2016-egg,2016.701
A/NorthernIreland/64360271/2016,2016.786
A/Stockholm/32/2016,2016.561
A/Norway/3806/2016-egg,2016.449
A/Oman/4726/2016,2016.376
A/Kyiv/80/2017,2017.086
A/Yokohama/124/2016,2016.633
A/Yokohama/149/2016,2016.914
A/Oregon/19/2016,2016.799
A/Peru/6917/2017,2017.432
A/Greece/4/2017-egg,2017.004
A/Uruguay/43/2017,2017.223
A/Congo/553/2017,2017.936
A/Congo/7/2018,2018.01
A/Visby/5/2017,2017.177
A/StPetersburg/274/2017,2017.278
A/Stockholm/27/2017,2017.278
A/SouthAfrica/R05675/2017,2017.495
A/Austria/973209/2017,2017.149
A/StPetersburg/311/2017,2017.166
A/Santiago/56159/2017,2017.541
A/Antananarivo/1067/2016,2016.261
A/Antananarivo/1067/2016-egg,2016.261
A/India/8359/2016,2016.542
A/Bahrain/786/2016,2016.665
A/Yamaguchi/34/2016,2016.824
A/Texas/68/2017,2017.163
A/Florida/23/2017,2017.223
